127.0.0.1 - - [25/Dec/2022:10:53:40 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:53:40 +0530] "GET /MedicalProject/demo.html HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:53:41 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:53:55 +0530] "GET /MedicalProject/demo.html? HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:58:11 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:58:11 +0530] "GET /MedicalProject/style.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:58:11 +0530] "GET /MedicalProject/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:00:14 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:01:29 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:02:44 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:03:37 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:04:46 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:05:04 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:05:35 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:05:52 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:06:08 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:06:37 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:07:04 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:07:25 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:08:56 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:08:57 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:08:58 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:08:58 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
