127.0.0.1 - - [09/Jan/2023:10:03:43 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:03:44 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:03:44 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:03:54 +0530] "POST /MedicalProject/ViewPage.jsp HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:03:54 +0530] "GET /MedicalProject/1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:04:03 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 4024
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:05:54 +0530] "GET /MedicalProject/home.jsp HTTP/1.1" 200 7234
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:05:54 +0530] "GET /MedicalProject/nicip.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:05:54 +0530] "GET /MedicalProject/Omee-Capsule.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:05:54 +0530] "GET /MedicalProject/lipuslide-p.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:05:54 +0530] "GET /MedicalProject/Dicloplus%20tablet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:05:54 +0530] "GET /MedicalProject/lomo%20tablet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:05:54 +0530] "GET /MedicalProject/OMEE%20syrup.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:05:54 +0530] "GET /MedicalProject/Zendril.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:05:54 +0530] "GET /MedicalProject/Azee-500-tablet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:05:54 +0530] "GET /MedicalProject/oflokem.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:07:21 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 4024
